2022-03-24 14:27:15,693 - lan_type=23        |keyword=russia              |tweet_count=35        |
2022-03-24 14:27:15,698 - lan_type=18        |keyword=russia              |tweet_count=36        |
2022-03-24 14:27:15,974 - lan_type=41        |keyword=russia              |tweet_count=35        |
2022-03-24 14:27:15,993 - lan_type=33        |keyword=russia              |tweet_count=36        |
2022-03-24 14:27:16,024 - lan_type=19        |keyword=russia              |tweet_count=36        |
2022-03-24 14:27:16,255 - lan_type=16        |keyword=russia              |tweet_count=39        |
2022-03-24 14:27:16,440 - lan_type=23        |keyword=russia              |tweet_count=35        |
2022-03-24 14:27:16,446 - lan_type=18        |keyword=russia              |tweet_count=36        |
2022-03-24 14:27:16,689 - lan_type=41        |keyword=russia              |tweet_count=35        |
2022-03-24 14:27:16,843 - lan_type=33        |keyword=russia              |tweet_count=41        |
2022-03-24 14:27:16,862 - lan_type=19        |keyword=russia              |tweet_count=41        |
2022-03-24 14:27:17,062 - lan_type=16        |keyword=russia              |tweet_count=42        |
2022-03-24 14:27:17,196 - lan_type=18        |keyword=russia              |tweet_count=36        |
2022-03-24 14:27:17,199 - lan_type=23        |keyword=russia              |tweet_count=35        |
2022-03-24 14:27:17,442 - lan_type=41        |keyword=russia              |tweet_count=35        |
2022-03-24 14:27:17,621 - lan_type=33        |keyword=russia              |tweet_count=43        |
2022-03-24 14:27:17,658 - lan_type=19        |keyword=russia              |tweet_count=43        |
2022-03-24 14:27:17,827 - lan_type=16        |keyword=russia              |tweet_count=44        |
2022-03-24 14:27:17,914 - lan_type=23        |keyword=russia              |tweet_count=35        |
2022-03-24 14:27:18,079 - lan_type=18        |keyword=russia              |tweet_count=44        |
2022-03-24 14:27:18,190 - lan_type=41        |keyword=russia              |tweet_count=35        |
2022-03-24 14:27:18,442 - lan_type=33        |keyword=russia              |tweet_count=44        |
2022-03-24 14:27:18,507 - lan_type=19        |keyword=russia              |tweet_count=44        |
2022-03-24 14:27:18,650 - lan_type=16        |keyword=russia              |tweet_count=45        |
2022-03-24 14:27:18,907 - lan_type=18        |keyword=russia              |tweet_count=46        |
2022-03-24 14:27:19,098 - lan_type=41        |keyword=russia              |tweet_count=45        |
